light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:1-128,52.5,96
supercalifragilisticexpealidigital:1-129,53.5,96
supercalifragilisticexpealidigital:1-130,54.5,96
supercalifragilisticexpealidigital:1-131,55.5,96
supercalifragilisticexpealidigital:1-132,56.5,96
supercalifragilisticexpealidigital:1-133,57.5,96
supercalifragilisticexpealidigital:1-134,58.5,96
supercalifragilisticexpealidigital:1-135,59.5,96
supercalifragilisticexpealidigital:1-136,60.5,96
supercalifragilisticexpealidigital:1-137,61.5,96
supercalifragilisticexpealidigital:1-138,62.5,96
supercalifragilisticexpealidigital:1-139,63.5,96
supercalifragilisticexpealidigital:1-140,64.5,96
supercalifragilisticexpealidigital:1-141,65,96
supercalifragilisticexpealidigital:1-142,65,95
supercalifragilisticexpealidigital:1-143,65,94
supercalifragilisticexpealidigital:1-144,65,93
supercalifragilisticexpealidigital:1-145,65,92
supercalifragilisticexpealidigital:1-146,65,91
supercalifragilisticexpealidigital:1-147,65,90
supercalifragilisticexpealidigital:1-148,65,89
supercalifragilisticexpealidigital:1-149,65,88
supercalifragilisticexpealidigital:1-150,65,87
supercalifragilisticexpealidigital:1-151,65,86
supercalifragilisticexpealidigital:1-152,65,85
supercalifragilisticexpealidigital:1-153,65,84
supercalifragilisticexpealidigital:1-154,65,83
supercalifragilisticexpealidigital:1-155,65,82
supercalifragilisticexpealidigital:1-156,65,81
supercalifragilisticexpealidigital:1-157,65,80
supercalifragilisticexpealidigital:1-158,65,79
supercalifragilisticexpealidigital:1-159,65,78
supercalifragilisticexpealidigital:1-160,65,77
supercalifragilisticexpealidigital:1-161,65,76
supercalifragilisticexpealidigital:1-162,65,75
supercalifragilisticexpealidigital:1-163,65,74
supercalifragilisticexpealidigital:1-164,65,73
supercalifragilisticexpealidigital:1-165,65,72
supercalifragilisticexpealidigital:1-166,65,71
supercalifragilisticexpealidigital:1-167,65,70
supercalifragilisticexpealidigital:1-168,65,69
supercalifragilisticexpealidigital:1-169,65,68
supercalifragilisticexpealidigital:1-170,65,67
supercalifragilisticexpealidigital:1-171,65,66
supercalifragilisticexpealidigital:1-172,65,65
supercalifragilisticexpealidigital:1-173,65,64
supercalifragilisticexpealidigital:1-174,65,63
supercalifragilisticexpealidigital:1-175,65,62
supercalifragilisticexpealidigital:1-176,65,61
supercalifragilisticexpealidigital:1-177,65,60
supercalifragilisticexpealidigital:1-178,65,59
supercalifragilisticexpealidigital:1-179,65,58
supercalifragilisticexpealidigital:1-180,65,57
supercalifragilisticexpealidigital:1-181,65,56
supercalifragilisticexpealidigital:1-182,65,55
supercalifragilisticexpealidigital:1-183,65,54
supercalifragilisticexpealidigital:1-184,65,53
supercalifragilisticexpealidigital:1-185,65,52
supercalifragilisticexpealidigital:1-186,65,51
supercalifragilisticexpealidigital:1-187,65,50
supercalifragilisticexpealidigital:1-188,65,49
supercalifragilisticexpealidigital:1-189,65,48
supercalifragilisticexpealidigital:1-190,65,47
supercalifragilisticexpealidigital:1-191,65,46
supercalifragilisticexpealidigital:1-192,65,45
supercalifragilisticexpealidigital:1-193,65,44
supercalifragilisticexpealidigital:1-194,65,43
supercalifragilisticexpealidigital:1-195,65,42
supercalifragilisticexpealidigital:1-196,65,41
supercalifragilisticexpealidigital:1-197,65,40
supercalifragilisticexpealidigital:1-198,65,39
supercalifragilisticexpealidigital:1-199,65,38
supercalifragilisticexpealidigital:1-200,65,37
supercalifragilisticexpealidigital:1-201,65,36
supercalifragilisticexpealidigital:1-202,65,35
supercalifragilisticexpealidigital:1-203,65,34
supercalifragilisticexpealidigital:1-204,65,33
supercalifragilisticexpealidigital:1-205,65,32
supercalifragilisticexpealidigital:1-206,65,31
supercalifragilisticexpealidigital:1-207,65,30
supercalifragilisticexpealidigital:1-208,65,29
supercalifragilisticexpealidigital:1-209,65,28
supercalifragilisticexpealidigital:1-210,65,27
supercalifragilisticexpealidigital:1-211,65,26
supercalifragilisticexpealidigital:1-212,65,25
supercalifragilisticexpealidigital:1-213,65,24
