light_id,x_coordinate,y_coordinate
spoonful_of_circuit:1-1,65.0000,0.0000
spoonful_of_circuit:1-2,65.0000,0.9897
spoonful_of_circuit:1-3,65.0000,1.9794
spoonful_of_circuit:1-4,65.0000,2.9691
spoonful_of_circuit:1-5,65.0000,3.9588
spoonful_of_circuit:1-6,65.0000,4.9485
spoonful_of_circuit:1-7,65.0000,5.9381
spoonful_of_circuit:1-8,65.0000,6.9278
spoonful_of_circuit:1-9,65.0000,7.9175
spoonful_of_circuit:1-10,65.0000,8.9072
spoonful_of_circuit:1-11,65.0000,9.8969
spoonful_of_circuit:1-12,65.0000,10.8866
spoonful_of_circuit:1-13,65.0000,11.8763
spoonful_of_circuit:1-14,65.0000,12.8660
spoonful_of_circuit:1-15,65.0000,13.8557
spoonful_of_circuit:1-16,65.0000,14.8454
spoonful_of_circuit:1-17,65.0000,15.8351
spoonful_of_circuit:1-18,65.0000,16.8247
spoonful_of_circuit:1-19,65.0000,17.8144
spoonful_of_circuit:1-20,65.0000,18.8041
spoonful_of_circuit:1-21,65.0000,19.7938
spoonful_of_circuit:1-22,65.0000,20.7835
spoonful_of_circuit:1-23,65.0000,21.7732
spoonful_of_circuit:1-24,65.0000,22.7629
spoonful_of_circuit:1-25,65.0000,23.7526
spoonful_of_circuit:1-26,65.0000,24.7423
spoonful_of_circuit:1-27,65.0000,25.7320
spoonful_of_circuit:1-28,65.0000,26.7216
spoonful_of_circuit:1-29,65.0000,27.7113
spoonful_of_circuit:1-30,65.0000,28.7010
spoonful_of_circuit:1-31,65.0000,29.6907
spoonful_of_circuit:1-32,65.0000,30.6804
spoonful_of_circuit:1-33,65.0000,31.6701
spoonful_of_circuit:1-34,65.0000,32.6598
spoonful_of_circuit:1-35,65.0000,33.6495
spoonful_of_circuit:1-36,65.0000,34.6392
spoonful_of_circuit:1-37,65.0000,35.6289
spoonful_of_circuit:1-38,65.0000,36.6186
spoonful_of_circuit:1-39,65.0000,37.6082
spoonful_of_circuit:1-40,65.0000,38.5979
spoonful_of_circuit:1-41,65.0000,39.5876
spoonful_of_circuit:1-42,65.0000,40.5773
spoonful_of_circuit:1-43,65.0000,41.5670
spoonful_of_circuit:1-44,65.0000,42.5567
spoonful_of_circuit:1-45,65.0000,43.5464
spoonful_of_circuit:1-46,65.0000,44.5361
spoonful_of_circuit:1-47,65.0000,45.5258
spoonful_of_circuit:1-48,65.0000,46.5155
spoonful_of_circuit:1-49,65.0000,47.5052
spoonful_of_circuit:1-50,65.0000,48.4948
spoonful_of_circuit:1-51,65.0000,49.4845
spoonful_of_circuit:1-52,65.0000,50.4742
spoonful_of_circuit:1-53,65.0000,51.4639
spoonful_of_circuit:1-54,65.0000,52.4536
spoonful_of_circuit:1-55,65.0000,53.4433
spoonful_of_circuit:1-56,65.0000,54.4330
spoonful_of_circuit:1-57,65.0000,55.4227
spoonful_of_circuit:1-58,65.0000,56.4124
spoonful_of_circuit:1-59,65.0000,57.4021
spoonful_of_circuit:1-60,65.0000,58.3918
spoonful_of_circuit:1-61,65.0000,59.3814
spoonful_of_circuit:1-62,65.0000,60.3711
spoonful_of_circuit:1-63,65.0000,61.3608
spoonful_of_circuit:1-64,65.0000,62.3505
spoonful_of_circuit:1-65,65.0000,63.3402
spoonful_of_circuit:1-66,65.0000,64.3299
spoonful_of_circuit:1-67,65.0000,65.3196
spoonful_of_circuit:1-68,65.0000,66.3093
spoonful_of_circuit:1-69,65.0000,67.2990
spoonful_of_circuit:1-70,65.0000,68.2887
spoonful_of_circuit:1-71,65.0000,69.2784
spoonful_of_circuit:1-72,65.0000,70.2680
spoonful_of_circuit:1-73,65.0000,71.2577
spoonful_of_circuit:1-74,65.0000,72.2474
spoonful_of_circuit:1-75,65.0000,73.2371
spoonful_of_circuit:1-76,65.0000,74.2268
spoonful_of_circuit:1-77,65.0000,75.2165
spoonful_of_circuit:1-78,65.0000,76.2062
spoonful_of_circuit:1-79,65.0000,77.1959
spoonful_of_circuit:1-80,65.0000,78.1856
spoonful_of_circuit:1-81,65.0000,79.1753
spoonful_of_circuit:1-82,65.0000,80.1649
spoonful_of_circuit:1-83,65.0000,81.1546
spoonful_of_circuit:1-84,65.0000,82.1443
spoonful_of_circuit:1-85,65.0000,83.1340
spoonful_of_circuit:1-86,65.0000,84.1237
spoonful_of_circuit:1-87,65.0000,85.1134
spoonful_of_circuit:1-88,65.0000,86.1031
spoonful_of_circuit:1-89,65.0000,87.0928
spoonful_of_circuit:1-90,65.0000,88.0825
spoonful_of_circuit:1-91,65.0000,89.0722
spoonful_of_circuit:1-92,65.0000,90.0619
spoonful_of_circuit:1-93,65.0000,91.0515
spoonful_of_circuit:1-94,65.0000,92.0412
spoonful_of_circuit:1-95,65.0000,93.0309
spoonful_of_circuit:1-96,65.0000,94.0206
spoonful_of_circuit:1-97,65.0000,95.0103
spoonful_of_circuit:1-98,65.0000,96.0000
spoonful_of_circuit:1-99,64.0333,96.0000
spoonful_of_circuit:1-100,63.0667,96.0000
spoonful_of_circuit:1-101,62.1000,96.0000
spoonful_of_circuit:1-102,61.1333,96.0000
spoonful_of_circuit:1-103,60.1667,96.0000
spoonful_of_circuit:1-104,59.2000,96.0000
spoonful_of_circuit:1-105,58.2333,96.0000
spoonful_of_circuit:1-106,57.2667,96.0000
spoonful_of_circuit:1-107,56.3000,96.0000
spoonful_of_circuit:1-108,55.3333,96.0000
spoonful_of_circuit:1-109,54.3667,96.0000
spoonful_of_circuit:1-110,53.4000,96.0000
spoonful_of_circuit:1-111,52.4333,96.0000
spoonful_of_circuit:1-112,51.4667,96.0000
spoonful_of_circuit:1-113,50.5000,96.0000
spoonful_of_circuit:1-114,49.5333,96.0000
spoonful_of_circuit:1-115,48.5667,96.0000
spoonful_of_circuit:1-116,47.6000,96.0000
spoonful_of_circuit:1-117,46.6333,96.0000
spoonful_of_circuit:1-118,45.6667,96.0000
spoonful_of_circuit:1-119,44.7000,96.0000
spoonful_of_circuit:1-120,43.7333,96.0000
spoonful_of_circuit:1-121,42.7667,96.0000
spoonful_of_circuit:1-122,41.8000,96.0000
spoonful_of_circuit:1-123,40.8333,96.0000
spoonful_of_circuit:1-124,39.8667,96.0000
spoonful_of_circuit:1-125,38.9000,96.0000
spoonful_of_circuit:1-126,37.9333,96.0000
spoonful_of_circuit:1-127,36.9667,96.0000
spoonful_of_circuit:1-128,36.0000,96.0000
spoonful_of_circuit:1-129,35.0333,96.0000
spoonful_of_circuit:1-130,34.0667,96.0000
spoonful_of_circuit:1-131,33.1000,96.0000
spoonful_of_circuit:1-132,32.1333,96.0000
spoonful_of_circuit:1-133,31.1667,96.0000
spoonful_of_circuit:1-134,30.2000,96.0000
spoonful_of_circuit:1-135,29.2333,96.0000
spoonful_of_circuit:1-136,28.2667,96.0000
spoonful_of_circuit:1-137,27.3000,96.0000
spoonful_of_circuit:1-138,26.3333,96.0000
spoonful_of_circuit:1-139,25.3667,96.0000
spoonful_of_circuit:1-140,24.4000,96.0000
spoonful_of_circuit:1-141,23.4333,96.0000
spoonful_of_circuit:1-142,22.4667,96.0000
spoonful_of_circuit:1-143,21.5000,96.0000
spoonful_of_circuit:1-144,21.5000,95.0103
spoonful_of_circuit:1-145,21.5000,94.0206
spoonful_of_circuit:1-146,21.5000,93.0309
spoonful_of_circuit:1-147,21.5000,92.0412
spoonful_of_circuit:1-148,21.5000,91.0515
spoonful_of_circuit:1-149,21.5000,90.0619
spoonful_of_circuit:1-150,21.5000,89.0722
spoonful_of_circuit:1-151,21.5000,88.0825
spoonful_of_circuit:1-152,21.5000,87.0928
spoonful_of_circuit:1-153,21.5000,86.1031
spoonful_of_circuit:1-154,21.5000,85.1134
spoonful_of_circuit:1-155,21.5000,84.1237
spoonful_of_circuit:1-156,21.5000,83.1340
spoonful_of_circuit:1-157,21.5000,82.1443
spoonful_of_circuit:1-158,21.5000,81.1546
spoonful_of_circuit:1-159,21.5000,80.1649
spoonful_of_circuit:1-160,21.5000,79.1753
spoonful_of_circuit:1-161,21.5000,78.1856
spoonful_of_circuit:1-162,21.5000,77.1959
spoonful_of_circuit:1-163,21.5000,76.2062
spoonful_of_circuit:1-164,21.5000,75.2165
spoonful_of_circuit:1-165,21.5000,74.2268
spoonful_of_circuit:1-166,21.5000,73.2371
spoonful_of_circuit:1-167,21.5000,72.2474
spoonful_of_circuit:1-168,21.5000,71.2577
spoonful_of_circuit:1-169,21.5000,70.2680
spoonful_of_circuit:1-170,21.5000,69.2784
spoonful_of_circuit:1-171,21.5000,68.2887
spoonful_of_circuit:1-172,21.5000,67.2990
spoonful_of_circuit:1-173,21.5000,66.3093
spoonful_of_circuit:1-174,21.5000,65.3196
spoonful_of_circuit:1-175,21.5000,64.3299
spoonful_of_circuit:1-176,21.5000,63.3402
spoonful_of_circuit:1-177,21.5000,62.3505
spoonful_of_circuit:1-178,21.5000,61.3608
spoonful_of_circuit:1-179,21.5000,60.3711
spoonful_of_circuit:1-180,21.5000,59.3814
spoonful_of_circuit:1-181,21.5000,58.3918
spoonful_of_circuit:1-182,21.5000,57.4021
spoonful_of_circuit:1-183,21.5000,56.4124
spoonful_of_circuit:1-184,21.5000,55.4227
spoonful_of_circuit:1-185,21.5000,54.4330
spoonful_of_circuit:1-186,21.5000,53.4433
spoonful_of_circuit:1-187,21.5000,52.4536
spoonful_of_circuit:1-188,21.5000,51.4639
spoonful_of_circuit:1-189,21.5000,50.4742
spoonful_of_circuit:1-190,21.5000,49.4845
spoonful_of_circuit:1-191,21.5000,48.4948
spoonful_of_circuit:1-192,21.5000,47.5052
spoonful_of_circuit:1-193,21.5000,46.5155
spoonful_of_circuit:1-194,21.5000,45.5258
spoonful_of_circuit:1-195,21.5000,44.5361
spoonful_of_circuit:1-196,21.5000,43.5464
spoonful_of_circuit:1-197,21.5000,42.5567
spoonful_of_circuit:1-198,21.5000,41.5670
